E1;MP_12581_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Átülõpad  Ülõ felület közepe_Fehér ruhaváltó;EDT;TAMC
E2;MP_12582_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Padló Átülõpadnál középen az elõtér felöl_Fehér ruhaváltó;EDT;TAMC
E3;MP_12583_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Gyártótér Helyiség közepe (at rest)_Gyártótér;EXT;TYMC
E4;MP_12584_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Padló Ajtótól 0,5 m-re középen_Gyártótér;EDT;TAMC
E5;MP_12585_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Fal Közlekedõ ajtó mellett 0,2 m-re 1 m magasan_Gyártótér;EDT;TAMC
E6;MP_12586_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Szita 09A05.02 Külsõ gépfelület_Gyártótér;EDT;TAMC
E7;MP_12587_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Szárító 09A05.00 Külsõ gépfelület_Gyártótér;EDT;TAMC
E8;MP_12588_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Kilincs Zsilip ajtó_Gyártótér;EXT;TYMC
E9;MP_12589_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Zsilip Alsó felület közepe_Zsilip;EDT;TAMC
E10;MP_12590_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Zsilip Alsó vízszintes felület közepén_Zsilip;EDT;TAMC
E11;MP_12591_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;KözlekedõHelyiség közepe_Közlekedõ;EDT;TAMC
E12;MP_12592_ID1011025858;2-NOR2-2 - Szteroid NOR2 2. tisztatér_2020-07-24;Padló Gyártótéri ajtónál 0,5 m-re középen_Közlekedõ;EDT;TAMC
